WRD_STR,ANC_STR,Voter_Count
1,1A,13080
1,1B,15082
1,1C,13085
1,1D,8671
1,1E,8124
2,2A,6069
2,2B,12842
2,2C,4425
2,2D,2036
2,2E,7654
2,2F,10353
2,2G,8859
2,4A,258
3,3/4G,4494
3,3A,6739
3,3B,7648
3,3C,11869
3,3D,9311
3,3E,8497
3,3F,8314
4,3/4G,6555
4,4A,9309
4,4B,15591
4,4C,10395
4,4D,10926
4,4E,8162
5,5A,10475
5,5B,11510
5,5C,10727
5,5D,13612
5,5E,10223
5,5F,12209
6,6A,11804
6,6B,14750
6,6C,11467
6,6D,13702
6,6E,11945
6,6F,4857
7,7B,13335
7,7C,13375
7,7D,14742
7,7E,9494
7,7F,9956
8,8A,9344
8,8B,7681
8,8C,9771
8,8D,7238
8,8E,10310
8,8F,5370
